,n_neurons,n_filters,n_layers,data_size,min_delta,score,accuracy_best,accuracy_last,epochs
59,19,135,3,626,5.449731968843914e-06,0.42563092708587646,0.797999918460846,0.797999918460846,66
60,23310,7959,1,599,0.09560593415394864,0.42843765020370483,0.7989599704742432,0.7989599704742432,5
61,8650,13,3,9617,0.0015085569157429802,0.44339442253112793,0.7862532734870911,0.7862532734870911,10
62,501,14,3,514,2.051442965229828e-06,0.44475820660591125,0.7863198518753052,0.7863198518753052,30
63,11,8766,1,19987,1.1399966194155899e-05,0.44891777634620667,0.7806932926177979,0.7806932926177979,17
64,28233,390,2,534,5.9676058460251955e-05,0.45279553532600403,0.7884536385536194,0.7884536385536194,5
65,540,11,2,3904,8.68473842317969e-05,0.45412173867225647,0.7765865325927734,0.7765865325927734,10
66,10,4411,1,10832,7.85892019682787e-06,0.4612937867641449,0.7738932371139526,0.7738932371139526,9
67,9,923,2,2634,4.133698131815929e-05,0.47596192359924316,0.7636934518814087,0.7636934518814087,32
68,159,9,1,3418,0.0037508609123364863,0.47656139731407166,0.7640799283981323,0.7640799283981323,20
69,16445,9,1,4751,1.0201864094732728e-05,0.47687047719955444,0.7626932859420776,0.7626932859420776,24
70,4517,9,2,20099,1.0154568646949435e-05,0.47719091176986694,0.7626132965087891,0.7626132965087891,8
71,16,837,3,1170,0.04548078710688633,0.4800063371658325,0.7618401646614075,0.7618401646614075,10
72,3850,11,1,1218,0.05557745751694177,0.4803291857242584,0.7630000710487366,0.7630000710487366,7
73,8,3532,1,4018,0.00013441154062623616,0.5042163133621216,0.7427733540534973,0.7427733540534973,20
74,13,8254,3,567,0.024689125318304087,0.5099678039550781,0.7438534498214722,0.7438534498214722,17
75,105,7,2,12419,0.009515604452476888,0.5290683507919312,0.720039963722229,0.720039963722229,6
76,7,1599,2,14086,0.013515403012228184,0.5301064848899841,0.7195732593536377,0.7195732593536377,5
